Isolates,Level 1,Level 2
SRR7360399,2,7
SRR7360579,2,5
SRR7360580,6,34
SRR7360586,6,33
SRR7439284,6,33
SRR7439672,2,5
SRR7468981,2,4
SRR7499269,6,40
SRR7500674,2,7
SRR7500862,2,5
SRR7501033,2,7
SRR7527934,6,34
SRR7543308,2,9
SRR7543358,2,7
SRR7615132,4,25
SRR7624308,6,33
SRR7638129,2,7
SRR7647877,2,7
SRR7693499,4,22
SRR7693501,6,36
SRR7693678,6,34
SRR7707874,2,8
SRR7707885,4,22
SRR7707893,2,7
SRR7724534,2,5
SRR7724612,2,6
SRR7724751,2,5
SRR7726367,5,28
SRR7749328,2,7
SRR7754588,2,5
SRR7754589,2,5
SRR7786651,1,1
SRR7786660,1,1
SRR7789472,2,6
SRR7828666,5,29
SRR7828700,5,31
SRR7828790,2,7
SRR785679,2,7
SRR7866002,3,18
SRR7866003,6,36
SRR7866010,2,7
SRR7870880,6,32
SRR7870883,2,11
SRR7874650,2,5
SRR7874651,2,5
SRR7883782,2,3
SRR7884476,2,4
SRR7896464,6,32
SRR7903256,5,30
SRR7940157,6,33
SRR7940165,6,40
SRR7940169,6,38
SRR7940182,2,11
SRR7940211,4,22
SRR8050352,6,37
SRR8050353,6,35
SRR8050354,6,35
SRR8080760,2,5
SRR8095417,2,5
SRR8095422,2,5
SRR8095426,6,38
SRR8095441,6,35
SRR8095461,6,37
SRR8095480,2,4
SRR8095502,2,4
SRR8095565,6,34
SRR8095598,2,5
SRR8095638,2,4
SRR8095675,2,5
SRR8095677,2,5
SRR8095680,2,7
SRR8095707,1,1
SRR8095722,2,5
SRR8095730,2,5
SRR8095740,2,4
SRR8095770,2,5
SRR8095810,2,9
SRR8095811,2,4
SRR8095858,2,5
SRR8095862,1,1
SRR8095893,6,32
SRR8095905,4,24
SRR8095918,2,4
SRR8095949,2,5
SRR8140215,6,40
SRR8140236,6,33
SRR8140243,6,33
SRR8140251,6,36
SRR8157249,4,22
SRR8157255,6,35
SRR8172608,4,21
SRR8236490,6,34
SRR8236495,2,7
SRR8236496,2,5
SRR8236499,6,38
SRR8236501,2,9
SRR8236506,2,5
SRR8236526,6,42
SRR8270014,4,23
SRR8270033,2,5
SRR8310802,2,9
SRR8310809,2,7
SRR8310825,3,20
SRR8310834,2,7
SRR8313106,6,34
SRR8313111,6,34
SRR8350812,6,36
SRR8350814,6,36
SRR8350825,6,34
SRR8364830,6,36
SRR8381451,2,7
SRR8381461,3,18
SRR8397488,2,3
SRR8397529,2,3
SRR8397548,2,5
SRR8397785,2,5
SRR8502414,2,5
SRR8505933,2,7
SRR8533535,2,7
SRR8533708,2,6
SRR8544233,2,7
SRR8582168,2,5
SRR8592560,2,4
SRR8592581,2,5
SRR8643749,2,11
SRR8649793,2,10
SRR8649942,2,5
SRR8649943,2,5
SRR8649951,2,14
SRR8649953,2,5
SRR8649967,2,4
SRR8649976,6,34
SRR8663204,2,11
SRR8663222,2,11
SRR8663235,2,11
SRR8699412,2,5
SRR8721839,2,4
SRR8723084,2,5
SRR8723124,2,4
SRR8745375,2,5
SRR8754953,2,4
SRR8754963,2,7
SRR8778441,6,34
SRR8782365,5,29
SRR8784424,6,35
SRR8792517,2,5
SRR8832736,6,32
SRR8833926,6,36
SRR8838499,6,32
SRR8838540,6,40
SRR8838615,5,31
SRR8839655,6,40
SRR8868852,6,36
SRR8996048,6,39
SRR8996056,2,7
SRR8996713,2,7
SRR9017025,2,5
SRR9029559,6,43
SRR9029858,2,5
SRR9041545,2,5
SRR9048651,2,4
SRR9048668,4,22
SRR9048670,2,7
SRR9049544,6,34
SRR9066705,2,4
SRR9066949,5,28
SRR9105559,2,9
SRR9105563,6,34
SRR9105600,3,20
SRR9105610,4,22
SRR9108421,2,5
SRR9139850,2,5
SRR9153325,2,5
SRR9160036,6,33
SRR9160366,6,33
SRR9201949,2,4
SRR9214238,6,35
SRR9262889,5,31
SRR9265272,2,5
SRR9265273,6,37
SRR9265296,4,22
SRR9301016,2,15
SRR9324322,2,7
SRR9331790,2,4
SRR9593782,6,41
SRR9615914,2,5
SRR9616006,2,5
SRR9646352,2,8
SRR9648194,6,34
SRR9648203,6,34
SRR9648216,6,36
SRR9734567,2,5
SRR9823029,5,31
SRR9823032,6,33
SRR9824445,2,7
SRR9852823,2,5
SRR9852824,5,30
SRR9875276,2,9
SRR9875321,6,41
SRR9887388,2,7
SRR9887395,2,7
SRR9887396,2,7
SRR9913778,6,34
SRR9913803,4,24
SRR9913823,6,35
SRR9913825,1,1
SRR9913849,1,1
SRR9913889,6,36
SRR9913910,2,5
SRR9913955,4,25
SRR9914014,6,36
SRR9914058,2,11
SRR9914065,6,36
SRR9914075,6,40
SRR9914141,2,7
SRR9914165,6,33
SRR9914244,2,3
SRR9914256,2,12
SRR9962769,6,37
SRR9962797,6,37
SRR9965262,1,1
SRR9973073,2,7
SS_2_G2,6,33
SS_2_H5,2,7
SS_3_G3,2,7
SS_4_E2,4,22
SS_4_G3,4,21
SS_4_G5,6,33
SS_4_H10,2,5
SS_5_B4,2,5
SS_5_E10,4,21
SS_5_E11,2,5
SS_5_H2,6,34
SS_5_H8,4,22
SafeFoodERA_ESBL_045,2,5
SafeFoodERA_ESBL_097,5,29
SafeFoodERA_ESBL_101,2,5
SafeFoodERA_ESBL_375,4,22
SafeFoodERA_ESBL_423,2,4
SafeFoodERA_ESBL_582,5,27
TZ124,2,7
TZ97,2,7
Vlees_ESBL_2012_133,6,33
Vlees_ESBL_2013_0170,2,5
Vlees_ESBL_2013_1236,2,5
Vlees_ESBL_2013_1429,2,9
Vlees_ESBL_2014_1504,1,1
