Uberstrain,Name,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Disease,Date Entered,Release Date,Barcode,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Clermont Type (ClermonTyping),Clermont Type (EzClermont),fimH (fimTyper)
ESC_CA6997AA,AZ-TG73467,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,24/2/16,1/1/15,ESC_CA6997AA,SRR3184067;ILLUMINA;Paired;500;SRX1597562,Poultry,Avian,Whole Chicken Breast,2013,7,,,North America,United States,Maine,,,,,,PRJNA230968,SRP038995,SAMN02628621,SRS1307589,B1,,fimH27
ESC_DA1038AA,MOD1-EC6252,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O409:H12,,,,,,,27/4/16,1/1/15,ESC_DA1038AA,"SRR3465440;ILLUMINA;Paired;500;SRX1735341,SRR3457725;ILLUMINA;Paired;500;SRX1733545",Livestock,Swine,colon,1986,6,,,North America,United States,Iowa,,,,,,PRJNA230969,SRP058582,SAMN04893479,SRS1414781,B1,B1,fimH54
ESC_DA1100AA,MOD1-EC5159,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,29/4/16,1/1/15,ESC_DA1100AA,SRR3466376;ILLUMINA;Paired;300;SRX1736244,Livestock,Bovine,"Bos taurus; bovine, cow_Uterus",2007,9,,,North America,United States,New York,,New York,,,,PRJNA230969,SRP058582,SAMN04279498,SRS1417021,B1,,fimH24
ESC_DA1101AA,MOD1-EC5158,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,29/4/16,1/1/15,ESC_DA1101AA,SRR3466375;ILLUMINA;Paired;300;SRX1736243,Livestock,Bovine,"Bos taurus; bovine, cow_Uterus",2007,9,,,North America,United States,New York,,New York,,,,PRJNA230969,SRP058582,SAMN04279497,SRS1417020,B1,B1,fimH121
ESC_DA1103AA,MOD1-EC5156,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,29/4/16,1/1/15,ESC_DA1103AA,SRR3466373;ILLUMINA;Paired;300;SRX1736241,Livestock,Bovine,"Bos taurus; bovine, cow_Uterus",2007,9,,,North America,United States,New York,,New York,,,,PRJNA230969,SRP058582,SAMN04279495,SRS1417018,B1,B1,fimH32
ESC_DA1109AA,MOD1-EC5150,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,29/4/16,1/1/15,ESC_DA1109AA,SRR3466362;ILLUMINA;Paired;300;SRX1736232,Livestock,Bovine,"Bos taurus; bovine, cow_Uterus",2007,9,,,North America,United States,New York,,New York,,,,PRJNA230969,SRP058582,SAMN04279488,SRS1417009,B1,B1,fimH32
ESC_DA1175AA,MOD1-EC6182,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O9:H9,,,,,,,28/4/16,1/1/15,ESC_DA1175AA,SRR3465478;ILLUMINA;Paired;500;SRX1735379,Livestock,Camelid,feces,2013,5,,,North America,United States,Tennessee,,,,,,PRJNA230969,SRP058582,SAMN04902868,SRS1416440,B1,B1,fimH27
ESC_DA1177AA,MOD1-EC6180,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O20:H27,,,,,,,28/4/16,1/1/15,ESC_DA1177AA,SRR3465476;ILLUMINA;Paired;500;SRX1735377,Wild Animal,Swine,feces,2013,4,,,North America,United States,Colorado,,,,,,PRJNA230969,SRP058582,SAMN04902866,SRS1416438,B1,B1,Unknown
ESC_DA2057AA,sam_103239_20160518_DTU2016_585_PRJ1055_ESchericha_coli_15080719,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",Escherichia coli,,,,,,,,,24/5/16,23/5/16,ESC_DA2057AA,ERR1417750;ILLUMINA;Paired;;ERX1488534,Livestock,Bovine,Bos primigenius,2014,,,,Europe,Denmark,,,,,,,PRJEB14086,ERP015694,SAMEA3993604,ERS1164714,B1,B1,Unknown
ESC_DA2397AA,152627,Public Health England,Escherichia coli,,O8,,,,,,,26/5/16,25/5/16,ESC_DA2397AA,SRR3579396;ILLUMINA;Paired;;SRX1796232,Human,Human,Human; Homo sapiens,2013,4,,,Europe,United Kingdom,,,,,,,PRJNA315192,SRP071789,SAMN05171066,SRS1464464,B1,B1,fimH54
ESC_DA2647AA,149251,Public Health England,Escherichia coli,,O84,,,,,,,26/5/16,25/5/16,ESC_DA2647AA,SRR3578579;ILLUMINA;Paired;;SRX1795555,Human,Human,Human; Homo sapiens,2015,8,,,Europe,United Kingdom,,,,,,,PRJNA315192,SRP071789,SAMN05170671,SRS1464001,B1,,fimH27
ESC_DA3227AA,KCJK115,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,11/6/16,1/1/15,ESC_DA3227AA,SRR3657449;ILLUMINA;Paired;500;SRX1837122,Livestock,Bovine,Bos taurus; Fecal-calf,2015,9,,,North America,United States,Florida,,,,,,PRJNA298331,SRP064902,SAMN04942833,SRS1496531,B1,,fimH171
ESC_DA4611AA,B87,Swansea University,Escherichia coli,,,,,,,,,1/7/16,28/1/16,ESC_DA4611AA,SRR3143601;ILLUMINA;Paired;;SRX1559726,Human,Human,Human Clinical Bacteriemia,2012,,,,Europe,United Kingdom,,,,,52.57,-1.8,PRJNA295914,SRP068897,SAMN04273103,SRS1274401,B1,B1,fimH41
ESC_DA4762AA,GN03624,JCVI,Escherichia coli,,,,,,,,,1/7/16,17/1/16,ESC_DA4762AA,SRR3098930;ILLUMINA;Paired;;SRX1528880,Human,Human,Homo sapiens,2010,,,,North America,United States,,,,,36,-78.9,PRJNA290784,SRP068372,SAMN04388560,SRS1246493,B1,B1,fimH27
ESC_DA4871AA,GN02055,JCVI,Escherichia coli,,,,,,,,,1/7/16,17/1/16,ESC_DA4871AA,SRR3098765;ILLUMINA;Paired;;SRX1528721,Human,Human,Homo sapiens; Bodily fluid,2002,,,,North America,United States,,,,,36,-78.9,PRJNA290784,SRP068372,SAMN03922912,SRS1246334,B1,,fimH32
ESC_DA5027AA,0000-0055-3681,Brigham & Women's Hospital,Escherichia coli,,,,,,,,,1/7/16,2/1/16,ESC_DA5027AA,SRR3057121;ILLUMINA;Paired;;SRX1502983,Human,Human,urine; Homo sapiens; Age: 20; male,2015,,,,North America,United States,Massachusetts,Suffolk County,Boston,,42.3,-71,PRJNA278886,SRP056445,SAMN04339723,SRS1224047,B1,B1,fimH27
ESC_DA5347AA,HICF166,University of Oxford,Escherichia coli,,,,,,,,,1/7/16,5/1/16,ESC_DA5347AA,SRR3050951;ILLUMINA;Paired;;SRX1499513,Human,Human,Homo sapiens; Blood,2010,8,,,Europe,United Kingdom,England,Oxfordshire,Oxford,,51.75,-1.26,PRJNA306133,SRP067738,SAMN04357602,SRS1221296,B1,,fimH27
ESC_DA5387AA,HICF112,University of Oxford,Escherichia coli,,,,,,,,,1/7/16,5/1/16,ESC_DA5387AA,SRR3050911;ILLUMINA;Paired;;SRX1499473,Human,Human,Homo sapiens; Blood,2010,1,,,Europe,United Kingdom,England,Oxfordshire,Oxford,,51.75,-1.26,PRJNA306133,SRP067738,SAMN04357562,SRS1221336,B1,,Unknown
ESC_EA1626AA,MOD1-EC5032,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,28/7/16,1/1/15,ESC_EA1626AA,"SRR4101536;ILLUMINA;Paired;300;SRX2068960,SRR3957186;ILLUMINA;Paired;300;SRX1981249",Livestock,Bovine,"Bos taurus; bovine, cow_Intestine",1970,12,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN04279360,SRS1588683,B1,B1,fimH31
ESC_EA1705AA,MOD1-EC6849,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,Ox13:H8,,,,,,,28/7/16,1/1/15,ESC_EA1705AA,SRR3957089;ILLUMINA;Paired;300;SRX1981099,Companion Animal,Ovine/Goat (Caprinae),"caprine, ibex, Cretan-Rectum",1996,7,,,North America,United States,California,,,,,,PRJNA230969,SRP058582,SAMN04992215,SRS1588543,B1,,fimH1325
ESC_EA1720AA,MOD1-EC6368,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O141:H16,,,,,,,28/7/16,1/1/15,ESC_EA1720AA,SRR3957074;ILLUMINA;Paired;300;SRX1981084,Wild Animal,Avian,"avian, parrot-Feces",1987,10,,,North America,United States,Texas,,,,,,PRJNA230969,SRP058582,SAMN04992984,SRS1588528,B1,B1,fimH32
ESC_EA1979AA,ECOR34,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O88:NM,B1,Non pathogen,,,ecor34,,28/7/16,1/1/15,ESC_EA1979AA,"SRR3951497;ILLUMINA;Paired;300;SRX1976292,SRR4098834;ILLUMINA;Paired;300;SRX2067289",Companion Animal,Canine,Canis familiaris; dog,1995,,,,North America,United States,Massachusetts,,,,,,PRJNA230969,SRP058582,SAMN04913880,SRS1584325,B1,,fimH32
ESC_EA2038AA,MOD1-EC6985,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O141:H12,,,,,,,29/7/16,1/1/15,ESC_EA2038AA,"SRR3977094;ILLUMINA;Paired;300;SRX1985246,SRR3987457;ILLUMINA;Paired;300;SRX1988295",Livestock,Bovine,"bovine, cow-Milk",1998,8,,,North America,United States,Colorado,,,,,,PRJNA230969,SRP058582,SAMN04992351,SRS1590266,B1,,fimH32
ESC_EA2172AA,MOD1-EC6880,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O153,,,,,,,29/7/16,1/1/15,ESC_EA2172AA,SRR3972934;ILLUMINA;Paired;300;SRX1984189,Livestock,Bovine,"bovine, cow-Feces",1997,7,,,North America,United States,Michigan,,,,,,PRJNA230969,SRP058582,SAMN04992246,SRS1589814,B1,,fimH32
ESC_EA2174AA,MOD1-EC6878,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O124,,,,,,,29/7/16,1/1/15,ESC_EA2174AA,SRR3972844;ILLUMINA;Paired;300;SRX1984177,Livestock,Bovine,"bovine, cow-Feces",1997,7,,,North America,United States,Michigan,,,,,,PRJNA230969,SRP058582,SAMN04992244,SRS1589809,B1,,fimH53
ESC_EA2179AA,MOD1-EC6870,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O119:H4,,,,,,,29/7/16,1/1/15,ESC_EA2179AA,SRR3972555;ILLUMINA;Paired;300;SRX1984144,Livestock,Bovine,"bovine, cow-Feces",1997,3,,,North America,United States,Pennsylvania,,,,,,PRJNA230969,SRP058582,SAMN04992236,SRS1589798,B1,B1,fimH1325
ESC_EA2193AA,MOD1-EC6851,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O123,,,,,,,29/7/16,1/1/15,ESC_EA2193AA,SRR3972151;ILLUMINA;Paired;300;SRX1984099,Companion Animal,Ovine/Goat (Caprinae),"ovine, oulfon sheep-Rectum",1996,7,,,North America,United States,California,,,,,,PRJNA230969,SRP058582,SAMN04992217,SRS1589776,B1,B1,fimH1325
