Uberstrain	Name	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Disease	Date Entered	Release Date	Barcode	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC2350 (subsp.)
ESC_BA8652AA	AZ-TG60304	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	27/2/14	ESC_BA8652AA	SRR1178266;ILLUMINA;Paired;500;SRX477353	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442852	SRS563021	NaN	9032	9032	9032	9032	9032	9032	9032	1186	1186	106	106	1
ESC_BA8670AA	AZ-TG59899	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8670AA	SRR1177636;ILLUMINA;Paired;500;SRX476737	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442777	SRS562456	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8673AA	AZ-TG59935	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8673AA	SRR1177624;ILLUMINA;Paired;500;SRX476726	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442780	SRS562445	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8677AA	AZ-TG59923	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8677AA	SRR1177607;ILLUMINA;Paired;500;SRX476710	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442779	SRS562429	NaN	19747	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8678AA	AZ-TG60413	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8678AA	SRR1177604;ILLUMINA;Paired;500;SRX476708	Poultry	Avian	packaged whole turkey	2013	4			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442830	SRS562427	NaN	9013	9013	9013	9013	9013	9013	9013	9013	1060	106	106	1
ESC_BA8681AA	AZ-TG59971	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8681AA	SRR1177594;ILLUMINA;Paired;500;SRX476698	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442783	SRS562417	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8688AA	AZ-TG59995	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8688AA	SRR1177572;ILLUMINA;Paired;500;SRX476677	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442785	SRS562396	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8696AA	AZ-TG59947	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8696AA	SRR1177290;ILLUMINA;Paired;500;SRX476479	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442781	SRS562248	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8701AA	AZ-TG59911	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8701AA	SRR1177279;ILLUMINA;Paired;500;SRX476467	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442778	SRS562237	NaN	16162	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8705AA	AZ-TG60007	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8705AA	SRR1177252;ILLUMINA;Paired;500;SRX476440	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442786	SRS562218	NaN	19747	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8707AA	AZ-TG59959	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8707AA	SRR1177217;ILLUMINA;Paired;500;SRX476405	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442782	SRS562176	NaN	8995	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA8709AA	AZ-TG59983	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	26/2/14	ESC_BA8709AA	SRR1177189;ILLUMINA;Paired;500;SRX476378	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442784	SRS562158	NaN	8993	8993	8993	8993	8993	8993	1441	1186	1186	106	106	1
ESC_BA9244AA	KOEGE 33 (68a)	Broad Institute	Escherichia coli									27/8/15	28/8/13	ESC_BA9244AA	"SRR958497;ILLUMINA;Paired;5000;SRX340481,SRR958496;ILLUMINA;Paired;5000;SRX340481,SRR785679;ILLUMINA;Paired;180;SRX251379,SRR785680;ILLUMINA;Paired;180;SRX251379"	Human	Human	Homo sapiens; Urine	2006				Europe	Denmark							PRJNA186260	SRP019622	SAMN01885870	SRS402250	NaN	8557	8557	8557	8557	8557	8557	5233	1186	1186	106	106	1
ESC_CA1429AA	KTE136	Broad Institute	Escherichia coli									27/8/15	28/12/12	ESC_CA1429AA	"SRR641838;ILLUMINA;Paired;452;SRX172385,SRR640064;ILLUMINA;Paired;157;SRX154792,SRR642251;ILLUMINA;Paired;452;SRX172385,SRR640055;ILLUMINA;Paired;157;SRX154792"	Human	Human	Homo sapiens; female	2010				Europe	Denmark							PRJNA164981	SRP020713	SAMN00854671	SRS410331	NaN	6686	6686	6686	6686	6686	6686	6686	6686	6686	106	106	1
ESC_CA4495AA	FSIS 210104592	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4495AA	SRR2970284;ILLUMINA;Paired;;SRX1459511	Livestock	Bovine	Animal-Cattle-Dairy Cow	2014	7			North America	United States	Pennsylvania						PRJNA292667	SRP066916	SAMN04293429	SRS1186835	NaN	19044	19044	4610	4610	4610	4610	4610	4610	1060	106	106	1
ESC_CA4502AA	FSIS 210119425	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4502AA	SRR2970277;ILLUMINA;Paired;;SRX1459504	Livestock	Bovine	Animal-Cattle-Dairy Cow	2014	10			North America	United States	North Carolina						PRJNA292667	SRP066916	SAMN04293422	SRS1186833	NaN	19043	4600	4600	4600	4600	4600	4600	4600	1060	106	106	1
ESC_CA4503AA	FSIS 210119424	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4503AA	SRR2970276;ILLUMINA;Paired;;SRX1459503	Livestock	Swine	Animal-Swine-Sow	2014	10			North America	United States	Pennsylvania						PRJNA292667	SRP066916	SAMN04293421	SRS1186834	NaN	19042	19042	4600	4600	4600	4600	4600	4600	1060	106	106	1
ESC_CA4547AA	FSIS 210115773	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4547AA	SRR2970232;ILLUMINA;Paired;;SRX1459459	Livestock	Bovine	Animal-Cattle-Steer	2014	9			North America	United States	Florida						PRJNA292667	SRP066916	SAMN04293377	SRS1186879	NaN	4561	4561	4561	4561	4561	4561	4561	4561	1060	106	106	1
ESC_CA4548AA	FSIS 210115772	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4548AA	SRR2970231;ILLUMINA;Paired;;SRX1459458	Livestock	Swine	Animal-Swine-Sow	2014	9			North America	United States	Tennessee						PRJNA292667	SRP066916	SAMN04293376	SRS1186881	NaN	22358	4560	4560	4560	4560	4560	4560	4560	1060	106	106	1
ESC_CA4559AA	FSIS 210093102	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4559AA	SRR2970220;ILLUMINA;Paired;;SRX1459447	Livestock	Bovine	Animal-Cattle-Dairy Cow	2014	5			North America	United States	Florida						PRJNA292667	SRP066916	SAMN04293365	SRS1186891	NaN	19019	4551	4551	4551	4551	4551	4551	4551	1060	106	106	1
ESC_CA4574AA	FSIS 210129768	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4574AA	SRR2970205;ILLUMINA;Paired;;SRX1459432	Livestock	Swine	Animal-Swine-Market Swine	2014	12			North America	United States	Michigan						PRJNA292667	SRP066916	SAMN04293350	SRS1186906	NaN	19014	4535	4535	4535	4535	4489	4489	4489	1060	106	106	1
ESC_CA4586AA	FSIS 210128129	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4586AA	SRR2970193;ILLUMINA;Paired;;SRX1459420	Livestock	Swine	Animal-Swine-Sow	2014	12			North America	United States	Iowa						PRJNA292667	SRP066916	SAMN04293337	SRS1186918	NaN	19008	4524	4524	4524	4524	4524	4524	1186	1186	106	106	1
ESC_CA4593AA	FSIS 210128122	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4593AA	SRR2970186;ILLUMINA;Paired;;SRX1459413	Livestock	Bovine	Animal-Cattle-Beef Cow	2014	12			North America	United States	Minnesota						PRJNA292667	SRP066916	SAMN04293330	SRS1186924	NaN	19006	19006	4517	4517	4517	4517	4517	4517	1060	106	106	1
ESC_CA4622AA	FSIS 210133186	FDA	Escherichia coli									12/12/15	3/12/15	ESC_CA4622AA	SRR2970157;ILLUMINA;Paired;;SRX1459384	Livestock	Bovine	Animal-Cattle-Steer	2014	3			North America	United States	Nebraska						PRJNA292667	SRP066916	SAMN04293301	SRS1186954	NaN	4489	4489	4489	4489	4489	4489	4489	4489	1060	106	106	1
ESC_CA6032AA	AZ-TG-WCHI-2	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									5/2/16	1/1/15	ESC_CA6032AA	SRR3136837;ILLUMINA;Paired;500;SRX1555415	Environment	Water	Untreated wastewater	2014	10			North America	United States	Arizona						PRJNA230968	SRP038995	SAMN04448144	SRS1271142	NaN	18474	18474	3258	3258	3258	3258	3258	3258	1060	106	106	1
ESC_CA6082AA	AZ-TG-713-2	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									9/2/16	1/1/15	ESC_CA6082AA	SRR3156776;ILLUMINA;Paired;500;SRX1567950	Environment	Water	Potable Source Water	2014	10			North America	United States	Arizona						PRJNA230968	SRP038995	SAMN04450992	SRS1281884	NaN	18454	3267	3267	3267	3267	3267	3267	3267	3267	106	106	1
ESC_CA6090AA	AZ-TG-WCHI-10	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									9/2/16	1/1/15	ESC_CA6090AA	SRR3156766;ILLUMINA;Paired;500;SRX1567935	Environment	Water	Untreated wastewater	2014	10			North America	United States	Arizona						PRJNA230968	SRP038995	SAMN04450981	SRS1281882	NaN	18449	3258	3258	3258	3258	3258	3258	3258	1060	106	106	1
ESC_CA6903AA	AZ-TG-WCHI-4-2	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									21/2/16	1/1/15	ESC_CA6903AA	SRR3173518;ILLUMINA;Paired;500;SRX1585713	Environment	Water	Untreated wastewater	2014	10			North America	United States	Arizona						PRJNA230968	SRP038995	SAMN04450985	SRS1296805	NaN	18299	2833	2833	2833	2833	2833	2833	2833	1060	106	106	1
ESC_CA6997AA	AZ-TG73467	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									24/2/16	1/1/15	ESC_CA6997AA	SRR3184067;ILLUMINA;Paired;500;SRX1597562	Poultry	Avian	Whole Chicken Breast	2013	7			North America	United States	Maine						PRJNA230968	SRP038995	SAMN02628621	SRS1307589	NaN	77154	77154	2776	2776	2776	2776	2776	1186	1186	106	106	1
ESC_DA1038AA	MOD1-EC6252	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O409:H12							27/4/16	1/1/15	ESC_DA1038AA	"SRR3457725;ILLUMINA;Paired;500;SRX1733545,SRR3465440;ILLUMINA;Paired;500;SRX1735341"	Livestock	Swine	colon	1986	6			North America	United States	Iowa						PRJNA230969	SRP058582	SAMN04893479	SRS1414781	NaN	13277	13277	13277	13277	13277	13277	13277	13277	13277	106	106	1
ESC_DA1100AA	MOD1-EC5159	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									29/4/16	1/1/15	ESC_DA1100AA	SRR3466376;ILLUMINA;Paired;300;SRX1736244	Livestock	Bovine	"Bos taurus; bovine, cow_Uterus"	2007	9			North America	United States	New York		New York				PRJNA230969	SRP058582	SAMN04279498	SRS1417021	NaN	17749	17749	17749	17749	17749	17749	17749	9455	1060	106	106	1
ESC_DA1101AA	MOD1-EC5158	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									29/4/16	1/1/15	ESC_DA1101AA	SRR3466375;ILLUMINA;Paired;300;SRX1736243	Livestock	Bovine	"Bos taurus; bovine, cow_Uterus"	2007	9			North America	United States	New York		New York				PRJNA230969	SRP058582	SAMN04279497	SRS1417020	NaN	17747	17747	17747	17747	17747	17747	4561	4561	1060	106	106	1
ESC_DA1103AA	MOD1-EC5156	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									29/4/16	1/1/15	ESC_DA1103AA	SRR3466373;ILLUMINA;Paired;300;SRX1736241	Livestock	Bovine	"Bos taurus; bovine, cow_Uterus"	2007	9			North America	United States	New York		New York				PRJNA230969	SRP058582	SAMN04279495	SRS1417018	NaN	17746	17746	17740	17740	17740	17740	17740	17740	1060	106	106	1
ESC_DA1109AA	MOD1-EC5150	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									29/4/16	1/1/15	ESC_DA1109AA	SRR3466362;ILLUMINA;Paired;300;SRX1736232	Livestock	Bovine	"Bos taurus; bovine, cow_Uterus"	2007	9			North America	United States	New York		New York				PRJNA230969	SRP058582	SAMN04279488	SRS1417009	NaN	17740	17740	17740	17740	17740	17740	17740	17740	1060	106	106	1
ESC_DA1175AA	MOD1-EC6182	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O9:H9							28/4/16	1/1/15	ESC_DA1175AA	SRR3465478;ILLUMINA;Paired;500;SRX1735379	Livestock	Camelid	feces	2013	5			North America	United States	Tennessee						PRJNA230969	SRP058582	SAMN04902868	SRS1416440	NaN	17677	17677	17677	17677	17677	17677	17677	1186	1186	106	106	1
ESC_DA1177AA	MOD1-EC6180	FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O20:H27							28/4/16	1/1/15	ESC_DA1177AA	SRR3465476;ILLUMINA;Paired;500;SRX1735377	Wild Animal	Swine	feces	2013	4			North America	United States	Colorado						PRJNA230969	SRP058582	SAMN04902866	SRS1416438	NaN	17676	17676	17676	17676	17676	17676	11880	11880	6277	106	106	1
ESC_DA2057AA	sam_103239_20160518_DTU2016_585_PRJ1055_ESchericha_coli_15080719	"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark"	Escherichia coli									24/5/16	23/5/16	ESC_DA2057AA	ERR1417750;ILLUMINA;Paired;;ERX1488534	Livestock	Bovine	Bos primigenius	2014				Europe	Denmark							PRJEB14086	ERP015694	SAMEA3993604	ERS1164714	NaN	21264	21264	21264	21264	21264	21264	21264	10660	1060	106	106	1
ESC_DA2397AA	152627	Public Health England	Escherichia coli		O8							26/5/16	25/5/16	ESC_DA2397AA	SRR3579396;ILLUMINA;Paired;;SRX1796232	Human	Human	Human; Homo sapiens	2013	4			Europe	United Kingdom							PRJNA315192	SRP071789	SAMN05171066	SRS1464464	NaN	21853	21853	21853	21853	21853	21853	21264	10660	1060	106	106	1
ESC_DA2647AA	149251	Public Health England	Escherichia coli		O84							26/5/16	25/5/16	ESC_DA2647AA	SRR3578579;ILLUMINA;Paired;;SRX1795555	Human	Human	Human; Homo sapiens	2015	8			Europe	United Kingdom							PRJNA315192	SRP071789	SAMN05170671	SRS1464001	NaN	21592	21592	21592	21592	21592	21592	4086	1186	1186	106	106	1
ESC_DA3227AA	KCJK115	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									11/6/16	1/1/15	ESC_DA3227AA	SRR3657449;ILLUMINA;Paired;500;SRX1837122	Livestock	Bovine	Bos taurus; Fecal-calf	2015	9			North America	United States	Florida						PRJNA298331	SRP064902	SAMN04942833	SRS1496531	NaN	22204	22204	22204	22204	22204	22204	22204	22204	22204	106	106	1
ESC_DA4611AA	B87	Swansea University	Escherichia coli									1/7/16	28/1/16	ESC_DA4611AA	SRR3143601;ILLUMINA;Paired;;SRX1559726	Human	Human	Human Clinical Bacteriemia	2012				Europe	United Kingdom					52.57	-1.8	PRJNA295914	SRP068897	SAMN04273103	SRS1274401	NaN	25963	25963	25963	25963	25963	25963	25963	1186	1186	106	106	1
ESC_DA4762AA	GN03624	JCVI	Escherichia coli									1/7/16	17/1/16	ESC_DA4762AA	SRR3098930;ILLUMINA;Paired;;SRX1528880	Human	Human	Homo sapiens	2010				North America	United States					36	-78.9	PRJNA290784	SRP068372	SAMN04388560	SRS1246493	NaN	25875	25875	25875	25875	25875	25875	4086	1186	1186	106	106	1
ESC_DA4871AA	GN02055	JCVI	Escherichia coli									1/7/16	17/1/16	ESC_DA4871AA	SRR3098765;ILLUMINA;Paired;;SRX1528721	Human	Human	Homo sapiens; Bodily fluid	2002				North America	United States					36	-78.9	PRJNA290784	SRP068372	SAMN03922912	SRS1246334	NaN	25832	25832	25832	25832	25832	25832	25832	1186	1186	106	106	1
ESC_DA5027AA	0000-0055-3681	Brigham & Women's Hospital	Escherichia coli									1/7/16	2/1/16	ESC_DA5027AA	SRR3057121;ILLUMINA;Paired;;SRX1502983	Human	Human	urine; Homo sapiens; Age: 20; male	2015				North America	United States	Massachusetts	Suffolk County	Boston		42.3	-71	PRJNA278886	SRP056445	SAMN04339723	SRS1224047	NaN	25692	25692	25692	25692	25692	25692	25692	1186	1186	106	106	1
ESC_DA5347AA	HICF166	University of Oxford	Escherichia coli									1/7/16	5/1/16	ESC_DA5347AA	SRR3050951;ILLUMINA;Paired;;SRX1499513	Human	Human	Homo sapiens; Blood	2010	8			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	PRJNA306133	SRP067738	SAMN04357602	SRS1221296	NaN	25401	25401	25401	25401	25401	25401	25401	1186	1186	106	106	1
ESC_DA5387AA	HICF112	University of Oxford	Escherichia coli									1/7/16	5/1/16	ESC_DA5387AA	SRR3050911;ILLUMINA;Paired;;SRX1499473	Human	Human	Homo sapiens; Blood	2010	1			Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	PRJNA306133	SRP067738	SAMN04357562	SRS1221336	NaN	25362	25362	25362	25362	25362	25362	10888	3267	3267	106	106	1
ESC_DA8559AA	CVM N33443PS	FDA	Escherichia coli									1/7/16	3/9/15	ESC_DA8559AA	SRR2239576;ILLUMINA;Paired;;SRX1133399	Aquatic	Fish	farm	2011	12			North America	United States							PRJNA266657	SRP061934	SAMN03177616	SRS1023760	NaN	24082	24082	24082	24082	24082	24082	24082	24082	1060	106	106	1
ESC_DA8575AA	CVM N33849PS	FDA	Escherichia coli									1/7/16	3/9/15	ESC_DA8575AA	SRR2239595;ILLUMINA;Paired;;SRX1133383	Aquatic	Fish	farm	2011	12			North America	United States							PRJNA266657	SRP061934	SAMN03177635	SRS1023713	NaN	24069	24069	24069	24069	24069	24069	24069	24039	3838	106	106	1
ESC_DA8593AA	CVM N33719PS	FDA	Escherichia coli									1/7/16	3/9/15	ESC_DA8593AA	SRR2239589;ILLUMINA;Paired;;SRX1132509	Aquatic	Fish	farm	2011	12			North America	United States							PRJNA266657	SRP061934	SAMN03177629	SRS1023052	NaN	24051	24051	24051	24051	24051	17168	17168	17168	1060	106	106	1
ESC_DA8605AA	CVM N34152PS	FDA	Escherichia coli									1/7/16	3/9/15	ESC_DA8605AA	SRR2239602;ILLUMINA;Paired;;SRX1132412	Aquatic	Fish	farm	2011	12			North America	United States							PRJNA266657	SRP061934	SAMN03177642	SRS1022953	NaN	24039	24039	24039	24039	24039	24039	24039	24039	3838	106	106	1
ESC_DA8613AA	CVM N36113PS	FDA	Escherichia coli									1/7/16	3/9/15	ESC_DA8613AA	SRR2239615;ILLUMINA;Paired;;SRX1132298	Aquatic	Fish	farm	2012	1			North America	United States							PRJNA266657	SRP061934	SAMN03177655	SRS1022853	NaN	23964	23964	23964	23964	23964	23964	23964	23964	1060	106	106	1
ESC_EA1626AA	MOD1-EC5032	FDA Center for Food Safety and Applied Nutrition	Escherichia coli									28/7/16	1/1/15	ESC_EA1626AA	"SRR4101536;ILLUMINA;Paired;300;SRX2068960,SRR3957186;ILLUMINA;Paired;300;SRX1981249"	Livestock	Bovine	"Bos taurus; bovine, cow_Intestine"	1970	12			North America	United States	Pennsylvania						PRJNA230969	SRP058582	SAMN04279360	SRS1588683	NaN	28013	28013	28013	28013	28013	28013	28013	28013	1060	106	106	1
